TEAM_ABBREVIATION,GAME_ID,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
NOP,0021800831,NOP @ MEM,L,241,90,34,86,0.395,6,33.0,0.182,16,27,0.593,17.0,35.0,52.0,25,6.0,5,15,22,-9.0
NOP,0021800823,NOP vs. MIN,W,241,122,43,91,0.473,9,30.0,0.3,27,28,0.964,8.0,37.0,45.0,27,11.0,7,11,21,5.0
NOP,0021800805,NOP @ CHI,W,241,125,45,85,0.529,15,35.0,0.429,20,30,0.667,14.0,32.0,46.0,26,1.0,6,11,18,5.0
NOP,0021800793,NOP vs. IND,L,240,107,39,90,0.433,9,38.0,0.237,20,24,0.833,13.0,42.0,55.0,26,6.0,4,16,19,-2.0
NOP,0021800779,NOP @ SAS,L,239,108,43,96,0.448,10,35.0,0.286,12,12,1.0,5.0,37.0,42.0,26,6.0,4,8,16,-5.0
NOP,0021800761,NOP vs. DEN,L,240,99,37,89,0.416,15,36.0,0.417,10,13,0.769,8.0,40.0,48.0,27,4.0,4,14,20,-6.0
NOP,0021800753,NOP @ HOU,W,239,121,46,90,0.511,9,31.0,0.29,20,25,0.8,13.0,42.0,55.0,27,8.0,9,17,17,5.0
NOP,0021800730,NOP vs. SAS,L,240,114,45,96,0.469,7,27.0,0.259,17,24,0.708,10.0,31.0,41.0,26,6.0,6,8,18,-12.0
NOP,0021800717,NOP @ OKC,L,240,116,49,101,0.485,10,36.0,0.278,8,12,0.667,8.0,34.0,42.0,34,7.0,6,12,16,-6.0
NOP,0021800714,NOP vs. DET,L,239,94,42,91,0.462,6,22.0,0.273,4,9,0.444,8.0,41.0,49.0,20,3.0,9,12,18,-4.0
NOP,0021800697,NOP @ MEM,W,239,105,39,74,0.527,9,26.0,0.346,18,26,0.692,7.0,43.0,50.0,19,8.0,7,19,17,20.0
NOP,0021800677,NOP @ POR,L,242,112,41,84,0.488,8,25.0,0.32,22,27,0.815,7.0,34.0,41.0,23,4.0,6,12,24,-16.0
